City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
362,Pio Ix,-6.8375,-40.5792,97.77,17,1,11.9,BR,2021-10-28 18:25:17
363,Harper,4.375,-7.7169,79.12,83,91,6.53,LR,2021-10-28 18:25:17
364,North Bend,43.4065,-124.2243,66.92,97,90,8.05,US,2021-10-28 18:25:18
365,Mayumba,-3.432,10.6554,76.98,87,37,7.52,GA,2021-10-28 18:25:18
366,Mossendjo,-2.9506,12.7261,71.96,91,25,2.35,CG,2021-10-28 18:25:18
367,Buraydah,26.326,43.975,82.85,15,100,10.11,SA,2021-10-28 18:25:19
368,Nevelsk,46.6733,141.8633,41.43,85,100,22.55,RU,2021-10-28 18:25:19
369,Yashkul,46.1711,45.3435,47.61,54,42,8.43,RU,2021-10-28 18:25:19
370,Turayf,31.6725,38.6637,66.45,34,0,6.91,SA,2021-10-28 18:25:20
371,Shizunai,42.3339,142.3669,50.72,81,76,24.16,JP,2021-10-28 18:25:20
372,Bac Lieu,9.285,105.7244,79.77,84,100,8.37,VN,2021-10-28 18:25:20
373,Talnakh,69.4865,88.3972,-6.57,96,95,9.06,RU,2021-10-28 18:25:21
374,Broome,42.2506,-75.833,63.05,58,1,1.99,US,2021-10-28 18:25:21
375,Kadhan,24.481,68.9859,80.91,28,0,4.52,PK,2021-10-28 18:25:21
376,Zhangjiakou,40.81,114.8794,46.04,44,60,3.13,CN,2021-10-28 18:25:22
377,Narsaq,60.9167,-46.05,32.22,67,68,4.88,GL,2021-10-28 18:25:22
378,Acajutla,13.5928,-89.8275,95.34,70,29,6.46,SV,2021-10-28 18:25:22
379,Raudeberg,61.9875,5.1352,51.19,96,100,11.99,NO,2021-10-28 18:25:23
380,Baturaja,-4.1333,104.1667,74.08,97,100,1.95,ID,2021-10-28 18:25:23
381,Taoudenni,22.6783,-3.9836,89.89,25,84,3.85,ML,2021-10-28 18:25:23
382,Hobyo,5.3505,48.5268,80.56,77,37,8.7,SO,2021-10-28 18:25:24
383,De Aar,-30.6497,24.0123,66.54,66,90,4.25,ZA,2021-10-28 18:25:24
384,Inhambane,-23.865,35.3833,68.41,62,73,9.35,MZ,2021-10-28 18:21:11
385,Calama,-22.4667,-68.9333,75.69,10,0,23.02,CL,2021-10-28 18:25:24
386,Shaoyang,27.2315,111.4525,58.62,92,99,3.06,CN,2021-10-28 18:25:25
387,Zastron,-30.3023,27.084,59.11,78,99,13.58,ZA,2021-10-28 18:25:25
388,Makakilo City,21.3469,-158.0858,78.62,82,90,3.44,US,2021-10-28 18:25:25
389,Camacha,33.0833,-16.3333,69.53,64,20,11.5,PT,2021-10-28 18:25:26
390,Magistralnyy,56.1725,107.4458,25.07,56,6,3.33,RU,2021-10-28 18:25:26
391,Bani Walid,31.7566,13.9942,69.76,49,79,10.33,LY,2021-10-28 18:25:27
392,Oistins,13.0667,-59.5333,86.09,66,40,13.8,BB,2021-10-28 18:22:51
393,Kawalu,-7.3817,108.2082,72.48,95,100,0.94,ID,2021-10-28 18:25:27
394,Yakymivka,46.6897,35.1536,49.05,58,97,7.05,UA,2021-10-28 18:25:27
395,Kharan,28.5833,65.4167,71.65,13,4,6.78,PK,2021-10-28 18:23:09
396,Tangzhai,34.4328,116.5911,57.11,64,64,5.75,CN,2021-10-28 18:25:28
397,Yeppoon,-23.1333,150.7333,71.38,85,18,9.15,AU,2021-10-28 18:25:28
398,Khash,28.2211,61.2158,62.47,58,68,1.92,IR,2021-10-28 18:25:28
399,Constancia,24.2231,-107.1869,88.05,54,0,3.49,MX,2021-10-28 18:25:29
400,Tabou,4.423,-7.3528,79.34,82,75,5.97,CI,2021-10-28 18:25:29
401,Valdivia,-39.8142,-73.2459,68.09,49,13,6.38,CL,2021-10-28 18:25:29
402,Zhigansk,66.7697,123.3711,18.43,91,100,12.77,RU,2021-10-28 18:25:30
