City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
210,Susanino,58.1461,41.5872,48.47,78,99,13.11,RU,overcast clouds
211,Dikson,73.5069,80.5464,19.6,90,100,14.05,RU,overcast clouds
212,Imbituba,-28.24,-48.6703,73.81,94,100,8.3,BR,overcast clouds
213,Yantal,56.8471,105.2542,19.72,85,100,12.28,RU,light snow
214,Arraial Do Cabo,-22.9661,-42.0278,69.48,80,5,6.6,BR,clear sky
215,Talnakh,69.4865,88.3972,-7.24,100,96,6.49,RU,overcast clouds
216,Puerto Escondido,15.85,-97.0667,78.73,79,34,4.47,MX,scattered clouds
217,Ponta Delgada,37.7333,-25.6667,70.5,83,75,19.57,PT,broken clouds
218,Samarai,-10.6167,150.6667,84.88,69,29,14.85,PG,scattered clouds
219,Road Town,18.4167,-64.6167,80.69,75,16,19.6,VG,few clouds
220,Bousso,10.4795,16.7117,79.48,56,71,4.9,TD,broken clouds
221,Dzilam Gonzalez,21.2833,-88.9333,72.0,79,87,5.82,MX,overcast clouds
222,Yar-Sale,66.8333,70.8333,25.72,96,100,11.03,RU,overcast clouds
223,Aswan,24.0934,32.907,74.79,35,0,9.4,EG,clear sky
224,Coquimbo,-29.9533,-71.3436,55.27,82,2,3.56,CL,clear sky
225,Bambous Virieux,-20.3428,57.7575,78.22,78,40,6.91,MU,scattered clouds
226,Thompson,55.7435,-97.8558,30.36,100,75,4.61,CA,broken clouds
227,Port Macquarie,-31.4333,152.9167,76.96,63,42,16.08,AU,scattered clouds
228,Barranca De Upia,4.5696,-72.9668,73.24,86,70,4.07,CO,broken clouds
229,Fortuna,40.5982,-124.1573,53.42,75,1,5.01,US,clear sky
230,Ewa Beach,21.3156,-158.0072,82.35,61,20,13.0,US,few clouds
231,Kabwe,-14.4469,28.4464,68.5,47,7,5.06,ZM,clear sky
232,Ancud,-41.8697,-73.8203,49.53,83,3,2.77,CL,clear sky
233,Kavaratti,10.5669,72.642,82.49,77,17,13.73,IN,few clouds
234,Vostok,46.4856,135.8833,49.14,61,30,7.81,RU,scattered clouds
235,Cidreira,-30.1811,-50.2056,68.22,91,100,9.95,BR,overcast clouds
236,Takoradi,4.8845,-1.7554,76.32,90,100,5.19,GH,overcast clouds
237,Araouane,18.9048,-3.5265,78.55,20,32,9.24,ML,scattered clouds
238,Jiuquan,39.7432,98.5174,15.78,76,100,7.2,CN,light snow
239,Namibe,-15.1961,12.1522,65.28,87,94,1.1,AO,overcast clouds
240,Rio Grande,-32.035,-52.0986,63.95,93,100,18.63,BR,moderate rain
241,Srikakulam,18.3,83.9,76.23,78,96,6.06,IN,overcast clouds
242,Ilulissat,69.2167,-51.1,2.25,72,41,7.65,GL,scattered clouds
243,Rondonopolis,-16.4708,-54.6356,74.8,92,100,2.06,BR,overcast clouds
244,Sabha,27.0377,14.4283,70.09,28,0,11.77,LY,clear sky
245,Salta,-24.7859,-65.4117,52.39,93,90,4.0,AR,overcast clouds
246,Shanghai,31.2222,121.4581,69.93,85,90,11.18,CN,overcast clouds
247,Kisangani,0.5167,25.2,68.11,99,95,2.42,CD,overcast clouds
248,Ulladulla,-35.35,150.4667,76.87,74,39,13.56,AU,scattered clouds
249,Vega De Alatorre,20.0333,-96.6333,71.22,83,49,8.75,MX,scattered clouds
250,Bowen,-20.0167,148.2333,86.22,61,20,13.0,AU,few clouds
251,Kilindoni,-7.9139,39.6668,77.94,78,6,3.58,TZ,clear sky
252,Vardo,70.3705,31.1107,35.4,99,100,13.82,NO,overcast clouds
253,Corowa,-36.0333,146.3833,77.32,54,100,8.95,AU,light rain
254,Ahipara,-35.1667,173.1667,64.58,84,57,5.66,NZ,broken clouds
255,Ust-Nera,64.5667,143.2,10.49,96,100,2.95,RU,snow
256,Nabire,-3.3667,135.4833,85.69,70,97,4.03,ID,overcast clouds
257,Saldanha,-33.0117,17.9442,51.85,68,64,12.95,ZA,broken clouds
258,Balikpapan,-1.2675,116.8289,81.59,89,20,2.3,ID,few clouds
259,Enshi,30.3,109.4833,67.5,80,69,0.67,CN,broken clouds
260,Mariental,-24.6333,17.9667,64.31,31,3,7.29,NA,clear sky
261,Maunatlala,-22.597,27.6301,75.61,57,87,6.4,BW,overcast clouds
262,Krasnogorskoye,52.2953,86.1979,20.46,76,100,4.14,RU,overcast clouds
263,Rawson,-43.3002,-65.1023,54.1,62,0,16.67,AR,clear sky
264,Tilichiki,60.4667,166.1,12.6,92,94,1.52,RU,overcast clouds
265,Muros,42.7762,-9.0603,52.84,77,18,8.57,ES,few clouds
266,Murom,55.5656,42.0417,51.62,95,100,14.74,RU,overcast clouds
267,Bolshaya Sosnova,57.6713,54.6029,35.29,69,100,22.12,RU,overcast clouds
268,Esperance,-33.8667,121.9,60.64,51,100,6.33,AU,overcast clouds
269,Hamilton,39.1834,-84.5333,41.77,78,1,0.0,US,clear sky
270,Peniche,39.3558,-9.3811,55.62,85,0,13.09,PT,clear sky
271,Burnie,-41.0667,145.9167,58.3,98,100,3.49,AU,light rain
272,Bairiki,1.3292,172.9752,86.0,66,20,8.05,KI,few clouds
273,Nagato,34.3833,131.2,66.2,48,100,7.49,JP,overcast clouds
274,Liberal,37.0431,-100.921,52.16,81,1,9.22,US,clear sky
275,Toora-Khem,52.4675,96.11,9.27,54,100,2.66,RU,overcast clouds
276,Cardinal,44.7834,-75.3826,39.16,93,1,4.61,CA,clear sky
277,San Quintin,30.4833,-115.95,63.99,88,3,4.63,MX,clear sky
278,Ondangwa,-17.9167,15.95,75.52,36,75,7.81,NA,broken clouds
279,Tomatlan,19.9333,-105.25,74.26,93,12,1.12,MX,few clouds
280,Katsuura,35.1333,140.3,66.24,55,24,11.59,JP,few clouds
281,Fort Stewart,31.8722,-81.61,46.81,61,90,9.22,US,overcast clouds
282,Klyuchi,52.2667,79.1667,22.71,66,100,13.2,RU,overcast clouds
283,Nioro,13.35,-15.75,76.46,67,20,5.57,GM,few clouds
284,Bako,5.7833,36.5667,64.98,64,41,3.74,ET,scattered clouds
285,Dabat,12.9842,37.765,51.6,57,20,3.8,ET,few clouds
